beta,energy,magnetization
0.05,-1082.75,0.0107061
0.1,-1638.65,0.0075574
0.15,-2316.29,0.0060394
0.2,-2963.1,0.019152
0.25,-3629.09,0.00712618
0.3,-3959.38,0.018613
0.35,-4232.13,0.0251464
0.4,-4581.68,0.0226356
0.45,-5193.85,0.0155289
0.5,-5286.07,0.0133765
0.55,-5287.09,0.00657476
0.6,-5336.55,0.0176155
0.65,-5589.05,0.00153596
0.7,-5655.21,0.00680736
0.75,-5809.46,0.0341186
0.8,-5648.55,0.0341898
0.85,-5670.49,0.0217241
0.9,-6027.13,0.0184045
0.95,-5709.26,0.00767198
1,-5789.23,0.0200383
1.05,-5898.38,0.0249403
1.1,-5916.36,0.0157467
1.15,-5840.86,0.0074476
1.2,-5946.45,0.0244684
1.25,-5935.79,0.00991358
1.3,-6037.66,0.0055794
1.35,-5975.06,0.0231165
1.4,-6124.16,0.0355425
1.45,-5960.97,0.0043777
1.5,-6309.31,0.0375172
1.55,-5999.85,0.00566404
1.6,-5865.85,0.0123559
1.65,-5723.64,0.0146589
1.7,-6093.1,0.0133135
1.75,-6055.09,0.0062711
1.8,-5973.72,0.0139106
1.85,-6024.53,0.00935424
1.9,-5986.75,0.0211185
1.95,-6062.5,0.0175734
